INSPECCION,MATRICULA,F.MATRIC.,MARCA Y MODELO,BASTIDOR,GRUP,TIP,F,F.INSPEC.,L,I.1,M.1,I.2,M.2,I.3,M.3,I.4,M.4,RESUL.,F.VALIDEZ,DEFEC.
160839751/2016,M-7910-UU,16/06/1997,CITROEN SAXO 1.1I,VF7S0HDZF56263924,1000,001,1,01/08/2016,1,003,14,001,12,006,17,010,22,DF.LEV,01/08/2017,"['0103-L', '0406-L']"
160839752/2016,0173-GSZ,28/08/1984,VOLKSWAGEN LT28D,WV2ZZZ28ZEH005740,3200,001,1,01/08/2016,2,002,14,001,16,006,17,010,21,DESFA.,00/00/0000,"['0202-L', '0405-L', '0407-L', '0601-G', '0603-G']"
160839753/2016,0347-CLH,06/08/2003,SEAT IBIZA 1.9 SDI 4P,VSSZZZ6LZ4R050328,1000,001,1,01/08/2016,1,002,14,001,12,006,17,010,22,DF.LEV,01/08/2017,['0103-L']
160839754/2016,6828-GTD,16/03/2000,BMW SERIE 3 320D,WBAAL71060KG46022,1000,001,1,01/08/2016,1,003,14,001,12,006,17,010,22,FAVOR.,01/08/2017,['']
160839755/2016,7347-CHW,28/05/2003,PEUGEOT 406,VF38BRFNR81576122,1000,001,1,01/08/2016,1,003,14,001,12,006,17,010,22,FAVOR.,01/08/2017,['']
160839756/2016,0554-CVR,30/04/2004,PEUGEOT 407 ST HDI,VF36DRHRH21023847,1000,001,1,01/08/2016,1,003,14,001,12,006,17,010,22,FAVOR.,01/08/2017,['']
160839757/2016,7350-DML,04/07/2005,KIA CARNIVAL,KNEUP751256686663,3100,002,2,01/08/2016,1,003,999,,,,,,,DF.LEV,01/02/2017,['0406-L']
160839758/2016,2600-BCG,01/06/1999,PEUGEOT 306 5P XR 1.9D,VF37AWJZT32748714,1000,001,1,01/08/2016,1,002,14,001,12,006,17,010,22,DESFA.,00/00/0000,"['0103-L', '0202-L', '0212-L', '0601-G']"
160839759/2016,8632-GGZ,13/08/2008,NISSAN QASHQAI,SJNFCAJ10U1276421,1000,001,1,01/08/2016,1,003,14,001,12,006,17,010,22,FAVOR.,01/08/2018,['']
160839760/2016,1287-FCG,29/06/2006,RENAULT LAGUNA,VF1BG4VB635689477,1000,001,1,01/08/2016,1,002,14,001,12,006,17,010,22,FAVOR.,01/08/2017,['']
160839761/2016,6324-CFD,19/02/2003,ROVER 75,SARRJSLHP3D280955,1000,001,1,01/08/2016,1,003,14,001,12,006,17,010,22,DF.LEV,01/08/2017,['0401-L']
160839762/2016,0395-CLD,31/07/2003,FIAT STILO SW,ZFA19200000352850,1000,001,1,01/08/2016,1,003,14,001,12,006,17,010,22,FAVOR.,01/08/2017,['']
160839763/2016,SA-6121-U,28/07/1999,PEUGEOT 206 5P XTD 1.9,VF32AWJZT40381058,1000,001,1,01/08/2016,1,003,14,001,12,006,17,010,22,FAVOR.,01/08/2017,['']
